index	label	hemisphere
1	L_white_matter	left
2	L_Banks_superior_temporal_sulcus	left
3	L_caudal_anterior_cingulate_cortex	left
4	L_caudal_middle_frontal_gyrus	left
5	L_corpus_calosum	left
6	L_cuneus_cortex	left
7	L_entorhinal_cortex	left
8	L_fusiform_gyrus	left
9	L_inferior_parietal_cortex	left
10	L_inferior_temporal_gyrus	left
11	L_isthmus-cingulate_cortex	left
12	L_lateral_occipital_cortex	left
13	L_lateral_orbitofrontal_cortex	left
14	L_lingual_gyrus	left
15	L_medial_orbitofrontal_cortex	left
16	L_middle_temporal_gyrus	left
17	L_parahippocampal_gyrus	left
18	L_paracentral_lobule	left
19	L_pars_opercularis	left
20	L_pars_orbitalis	left
21	L_pars_triangularis	left
22	L_pericalcarine_cortex	left
23	L_postcentral_gyrus	left
24	L_posterior-cingulate_cortex	left
25	L_precentral_gyrus	left
26	L_precuneus_cortex	left
27	L_rostral_anterior_cingulate_cortex	left
28	L_rostral_middle_frontal_gyrus	left
29	L_superior_frontal_gyrus	left
30	L_superior_parietal_cortex	left
31	L_superior_temporal_gyrus	left
32	L_supramarginal_gyrus	left
33	L_frontal_pole	left
34	L_temporal_pole	left
35	L_transverse_temporal_cortex	left
36	R_white_matter	right
37	R_Banks_superior_temporal_sulcus	right
38	R_caudal_anterior_cingulate_cortex	right
39	R_caudal_middle_frontal_gyrus	right
40	R_corpus_calosum	right
41	R_cuneus_cortex	right
42	R_entorhinal_cortex	right
43	R_fusiform_gyrus	right
44	R_inferior_parietal_cortex	right
45	R_inferior_temporal_gyrus	right
46	R_isthmus-cingulate_cortex	right
47	R_lateral_occipital_cortex	right
48	R_lateral_orbitofrontal_cortex	right
49	R_lingual_gyrus	right
50	R_medial_orbitofrontal_cortex	right
51	R_middle_temporal_gyrus	right
52	R_parahippocampal_gyrus	right
53	R_paracentral_lobule	right
54	R_pars_opercularis	right
55	R_pars_orbitalis	right
56	R_pars_triangularis	right
57	R_pericalcarine_cortex	right
58	R_postcentral_gyrus	right
59	R_posterior-cingulate_cortex	right
60	R_precentral_gyrus	right
61	R_precuneus_cortex	right
62	R_rostral_anterior_cingulate_cortex	right
63	R_rostral_middle_frontal_gyrus	right
64	R_superior_frontal_gyrus	right
65	R_superior_parietal_cortex	right
66	R_superior_temporal_gyrus	right
67	R_supramarginal_gyrus	right
68	R_frontal_pole	right
69	R_temporal_pole	right
70	R_transverse_temporal_cortex	right
